"ID","Created Date","Updated Date","Owner","Song Title","Performer","Runtime","Location","Snippet(s) of relevant lyrics","Songwriter ","date written","genre","Keywords (type of worker, labor issues, etc)","Submitter Name","Submitter Email"
"005fb637-9655-4d45-bd68-05b4a526ec33",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Wealth Won't Save Your Soul","Hank Williams",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"013f54ef-0918-4c2f-88ad-a06f3712d8ef",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Bread & Roses","R.J. Phillips Band",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0157e76e-bf4b-4229-87ef-ab853ef42cc9",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Faithful","Drake",,"https://www.youtube.com/watch?v=blzvniug5kQ&frags=pl%2Cwn","Working, working, working, working, ain't ya?
You don't have no time to lay up
You just trying to be somebody
'Fore you say you need somebody
Get all your affairs in order
I won't have affairs, I'm yours, girl","Bryan Michael-Cox, Kevin Hicks, Jhonta Austin, Boi-1da, Nineteen85, dvsn, Pimp C, Drake","Released April 19, 2016","hip-hop/rap",,,
"017baa68-f1c5-4cf7-9cf0-50fa7682394f",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Working Girl Blues","Hazel Dickens and Alice Gerrard",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"01a63a1d-e168-4e37-b4d0-d5e0448b8a79",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","We Won't Back Down","Jerry Levinsky",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0235ac64-c03f-4799-997f-68f58f39c0b8",2022-12-05T21:56:52Z,2022-12-05T21:56:52Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Working This Job (This F*cking Job)","Drive-By Truckers",,"https://www.youtube.com/watch?v=A89oOF735cw","Workin' this job is a kick in the pants
Workin' this job is like a knife in the back
It ain't gettin' me further than the dump I live in
It ain't gettin' me further than the next paycheck
Workin' this job is like lightin' two fuses
Workin' this job is runnin' out of excuses
It's like a dead-end when a road map is useless
Until I'm dead and there's nothin' to show for my uses

Nobody told me it'd be easy
Or for that matter, it'd be so hard
But it's the livin' and learnin'
It makes the difference
It makes it all worthwhile
It makes it all worthwhile

Workin' this job, there's nothin' left but to hate it
I won't get as far as my daddy made it
It aint gettin' me farther for all my strivin'
In the dead-end I live or the piece of shit I'm drivin'","Drive-By Truckers","2010","Rock",,,
"02558d8e-318e-4d2d-b1ea-4b7919e3772f",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","The Rebel Girl","Alyeah Hansen",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"03601092-a4d2-44d8-92cd-0ae668709497",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Johnny, I Hardly Knew Ya","Dropkick Murphys",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"03e005b8-8ccb-4f61-bf67-f808a950c91b",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","This Land Is Your Land","Sharon Jones & the Dap Kings"," ","Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"03eba01a-aff5-4371-9a0e-7e5a91bec108",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Millworker","Bruce Springsteen","4:06:00","https://youtu.be/c3 MsX2O-Co",,,,,,,
"0488a5ae-9637-436f-b6b9-e1e943887c4a",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","On our way","The Royal Concept",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"04d597ba-fe2b-4dd5-aaa8-21d5b960f700",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Popular Wobbly","T Bone Slim",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0596f318-1946-4fe0-9a61-02589653c1a3",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","People Are People","Cubanisms",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"06fc2250-eabd-4afb-a9a6-9dbfeb492651",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Paint It Black","The Rolling Stones"," ","Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"07ac8ddb-a6c4-4bd1-adab-d7a0869fcda9",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","There is Power in a Union","Billy Bragg",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"07c41bb9-bf84-4a46-b133-2cef32e9d5f3",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Living for the City","Stevie Wonder","3:39:00","https://youtu.be/Nu95a RiH54",,,,,,,
